address,datePublished,domain,extracted_date,food_category,food_types,link,opinions,prices_range,rating,restaurant_name
"Avenida Emilio Castelar 44, Ciudad de México 11000 México",,www.tripadvisor.com.mx,2022-09-08 17:49:07,"Almuerzo, Cena, Bebidas","Vino y cerveza, Servicio de mesa",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d24093482-Reviews-Pardela-Mexico_City_Central_Mexico_and_Gulf_Coast.html,2,"Mediterránea, Contemporánea, Bar, Pub, Fusión, Bar de vinos",5.0,Pardela
"AVENIDA SANTA FE 160 AVENIDA SANTA FE 160, Ciudad de México 01376 México",,www.tripadvisor.com.mx,2022-09-08 17:49:07,"Italiana, Mediterránea, Europea, Saludable, Toscana, Romana, De Lacio, Siciliana, Del centro italiano, Del sur italiano","Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d4035248-Reviews-Quattro-Mexico_City_Central_Mexico_and_Gulf_Coast.html,741,"$402 - $1,004",5.0,Quattro Gastronomía Italiana
"Avenida Paseo de La Reforma 297 Sofitel Mexico City, Ciudad de México 06500 México",,www.tripadvisor.com.mx,2022-09-08 17:49:08,"Desayuno, Almuerzo, Brunch","Reservaciones, Asiento, Sirve alcohol, Bar completo, Acepta tarjetas de crédito, Servicio de mesa",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d20295948-Reviews-Cityzen_Rooftop_Kitchen-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"1,080","Mexicana, Fusión",5.0,Cityzen Rooftop Kitchen
"Calzada Acoxpa # 610 Centro Comercial Gran Terraza Coapa locales 101,102,103, Ciudad de México 14390 México",,www.tripadvisor.com.mx,2022-09-08 17:49:08,"Mexicana, Parrilla, Contemporánea","Almuerzo, Cena, Brunch, Abierto hasta tarde, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d19078418-Reviews-Porfirio_s_Coapa-Mexico_City_Central_Mexico_and_Gulf_Coast.html,643,$250 - $600,5.0,Porfirio's Coapa
"Calle Goldsmith Polanco III Secc. 66 Miguel Hidalgo, Ciudad de México 11540 México",,www.tripadvisor.com.mx,2022-09-08 17:49:08,"Asiática, Tailandesa, Coreana, Fusión",Apto para vegetarianos,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d20158337-Reviews-KYU_MEXICO-Mexico_City_Central_Mexico_and_Gulf_Coast.html,373,"$1,200 - $1,800",5.0,KYU MÉXICO
"Av. Presidente Masaryk 294, Colonia Polanco IV, Ciudad de México 11550 México",,www.tripadvisor.com.mx,2022-09-08 17:49:08,"Mariscos, Mediterránea, Internacional, Contemporánea",Opciones sin gluten,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d19246233-Reviews-Taboo_Polanco-Mexico_City_Central_Mexico_and_Gulf_Coast.html,693,$601 - $801,5.0,Taboo Polanco
"Tonala 144 Roma Norte Primer Piso, Ciudad de México 06700 México",,www.tripadvisor.com.mx,2022-09-08 17:49:08,"Almuerzo, Cena",,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d24192705-Reviews-Sake_Sushi_Bar_Roma-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,"Japonesa, Bar, Pub, Bar de vinos",,Sake Sushi Bar ( Roma )
"Avenida Miguel Angel de Quevedo 227 Plaza Oasis, Ciudad de México 04310 México",,www.tripadvisor.com.mx,2022-09-08 17:49:09,"Argentina, Internacional, Parrilla, Contemporánea",Opciones sin gluten,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d10330947-Reviews-Cambalache_Plaza_Oasis-Mexico_City_Central_Mexico_and_Gulf_Coast.html,760,$500 - $800,4.5,Cambalache Plaza Oasis
"Avenida Presidente Masaryk, 311 Polanco, Ciudad de México 11550 México",,www.tripadvisor.com.mx,2022-09-08 17:49:09,"Bar, Mediterránea, Griega","Almuerzo, Cena, Abierto hasta tarde, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d23653334-Reviews-Ilios_Greek_Estiatorio_Polanco-Mexico_City_Central_Mexico_and_Gulf_Coast.html,396,"$700 - $1,500",5.0,Ilios Greek Estiatorio Polanco
"Calle Juan Sanchez Azcona No. 529 Esq. Diagonal San Antonio, Col. Narvarte, Ciudad de México 03020 México",,www.tripadvisor.com.mx,2022-09-08 17:49:10,"Apto para vegetarianos, Opciones sin gluten","Almuerzo, Cena",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d8288826-Reviews-Sonora_Grill_Narvarte-Mexico_City_Central_Mexico_and_Gulf_Coast.html,404,"Mexicana, Churrasquería",5.0,Sonora Grill Narvarte
"Calzada Vallejo 1090 Parque Vía Vallejo, nivel 2. Sta  Cruz de Las Salinas Azcapotzalco, Ciudad de México 02340 México",,www.tripadvisor.com.mx,2022-09-08 17:49:10,"Latina, Parrilla, Mexicana","Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d11727409-Reviews-La_Vicenta_Vallejo-Mexico_City_Central_Mexico_and_Gulf_Coast.html,676,$300 - $800,5.0,La Vicenta
"Calle Calderón de la Barca 108 Polanco III Secc, Miguel Hidalgo, Ciudad de México 11540 México",,www.tripadvisor.com.mx,2022-09-08 17:49:10,Opciones sin gluten,"Almuerzo, Cena, Abierto hasta tarde, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d22880159-Reviews-Animal-Mexico_City_Central_Mexico_and_Gulf_Coast.html,540,"Mexicana, Fusión, Gastropub, Bar",5.0,Animal
"Tonala 144 Roma Norte Primer Piso Entre Zacatecas Y Queretaro, Ciudad de México 06700 México",,www.tripadvisor.com.mx,2022-09-08 17:49:11,"Almuerzo, Cena","Reservaciones, Servicio de mesa",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d24192687-Reviews-Bombana-Mexico_City_Central_Mexico_and_Gulf_Coast.html,11,"Italiana, Bar, Pub, Bar de vinos, Del centro italiano",5.0,Bombana
"San Jerónimo 24 Centro Historico, Ciudad de México 06080 México",,www.tripadvisor.com.mx,2022-09-08 17:49:11,"Mexicana, Contemporánea","Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d2236379-Reviews-Zefiro-Mexico_City_Central_Mexico_and_Gulf_Coast.html,824,$250 - $350,5.0,Zefiro
"Avenida Division Del Norte, 911 Heriberto Frias, Ciudad de México 03100 México",,www.tripadvisor.com.mx,2022-09-08 17:49:11,"Mexicana, Latina, Bar","Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d1071091-Reviews-Parrilla_Urbana_Division_del_Norte-Mexico_City_Central_Mexico_and_Gulf_Coast.html,687,$230 - $570,4.5,Parrilla Urbana División del Norte
"Calle Pedregal 24 Torre Virreyes, Ciudad de México 11040 México",,www.tripadvisor.com.mx,2022-09-08 17:49:12,"Mexicana, Latina","Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d13424441-Reviews-Carmela_Y_Sal-Mexico_City_Central_Mexico_and_Gulf_Coast.html,224,"$13,055 - $19,081",4.5,Carmela Y Sal
