,address,domain,extracted_date,food_category,food_types,link,opinions,min_price,max_price,rating,restaurant_name
0,"Avenida Emilio Castelar 44, Ciudad de M̩xico 11000 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Almuerzo, Cena, Bebidas","Vino y cerveza, Servicio de mesa",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d24093482-Reviews-Pardela-Mexico_City_Central_Mexico_and_Gulf_Coast.html,2,463.7050452781371,44320.62354463131,5.0,Pardela
1,"AVENIDA SANTA FE 160 AVENIDA SANTA FE 160, Ciudad de M̩xico 01376 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Italiana, Mediterr��nea, Europea, Saludable, Toscana, Romana, De Lacio, Siciliana, Del centro italiano, Del sur italiano","Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d4035248-Reviews-Quattro-Mexico_City_Central_Mexico_and_Gulf_Coast.html,741,402.0,1004.0,5.0,Quattro Gastronom�_a Italiana
2,"Avenida Paseo de La Reforma 297 Sofitel Mexico City, Ciudad de M̩xico 06500 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Desayuno, Almuerzo, Brunch","Reservaciones, Asiento, Sirve alcohol, Bar completo, Acepta tarjetas de cr̩dito, Servicio de mesa",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d20295948-Reviews-Cityzen_Rooftop_Kitchen-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"1,080",463.7050452781371,44320.62354463131,5.0,Cityzen Rooftop Kitchen
3,"Calzada Acoxpa # 610 Centro Comercial Gran Terraza Coapa locales 101,102,103, Ciudad de M̩xico 14390 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Mexicana, Parrilla, Contempor��nea","Almuerzo, Cena, Brunch, Abierto hasta tarde, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d19078418-Reviews-Porfirio_s_Coapa-Mexico_City_Central_Mexico_and_Gulf_Coast.html,643,250.0,600.0,5.0,Porfirio's Coapa
4,"Calle Goldsmith Polanco III Secc. 66 Miguel Hidalgo, Ciudad de M̩xico 11540 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Asi��tica, Tailandesa, Coreana, Fusi�_n",Apto para vegetarianos,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d20158337-Reviews-KYU_MEXICO-Mexico_City_Central_Mexico_and_Gulf_Coast.html,373,1200.0,1800.0,5.0,KYU M��XICO
5,"Av. Presidente Masaryk 294, Colonia Polanco IV, Ciudad de M̩xico 11550 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Mariscos, Mediterr��nea, Internacional, Contempor��nea",Opciones sin gluten,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d19246233-Reviews-Taboo_Polanco-Mexico_City_Central_Mexico_and_Gulf_Coast.html,693,601.0,801.0,5.0,Taboo Polanco
6,"Tonala 144 Roma Norte Primer Piso, Ciudad de M̩xico 06700 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Almuerzo, Cena",,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d24192705-Reviews-Sake_Sushi_Bar_Roma-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,463.7050452781371,44320.62354463131,,Sake Sushi Bar ( Roma )
7,"Avenida Miguel Angel de Quevedo 227 Plaza Oasis, Ciudad de M̩xico 04310 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Argentina, Internacional, Parrilla, Contempor��nea",Opciones sin gluten,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d10330947-Reviews-Cambalache_Plaza_Oasis-Mexico_City_Central_Mexico_and_Gulf_Coast.html,760,500.0,800.0,4.5,Cambalache Plaza Oasis
8,"Avenida Presidente Masaryk, 311 Polanco, Ciudad de M̩xico 11550 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Bar, Mediterr��nea, Griega","Almuerzo, Cena, Abierto hasta tarde, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d23653334-Reviews-Ilios_Greek_Estiatorio_Polanco-Mexico_City_Central_Mexico_and_Gulf_Coast.html,396,700.0,1500.0,5.0,Ilios Greek Estiatorio Polanco
9,"Calle Juan Sanchez Azcona No. 529 Esq. Diagonal San Antonio, Col. Narvarte, Ciudad de M̩xico 03020 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Apto para vegetarianos, Opciones sin gluten","Almuerzo, Cena",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d8288826-Reviews-Sonora_Grill_Narvarte-Mexico_City_Central_Mexico_and_Gulf_Coast.html,404,463.7050452781371,44320.62354463131,5.0,Sonora Grill Narvarte
10,"Calzada Vallejo 1090 Parque V�_a Vallejo, nivel 2. Sta  Cruz de Las Salinas Azcapotzalco, Ciudad de M̩xico 02340 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Latina, Parrilla, Mexicana","Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d11727409-Reviews-La_Vicenta_Vallejo-Mexico_City_Central_Mexico_and_Gulf_Coast.html,676,300.0,800.0,5.0,La Vicenta
11,"Calle Calder�_n de la Barca 108 Polanco III Secc, Miguel Hidalgo, Ciudad de M̩xico 11540 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,Opciones sin gluten,"Almuerzo, Cena, Abierto hasta tarde, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d22880159-Reviews-Animal-Mexico_City_Central_Mexico_and_Gulf_Coast.html,540,463.7050452781371,44320.62354463131,5.0,Animal
12,"Tonala 144 Roma Norte Primer Piso Entre Zacatecas Y Queretaro, Ciudad de M̩xico 06700 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Almuerzo, Cena","Reservaciones, Servicio de mesa",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d24192687-Reviews-Bombana-Mexico_City_Central_Mexico_and_Gulf_Coast.html,11,463.7050452781371,44320.62354463131,5.0,Bombana
